S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,                                        33,,CITY,,,                                        712.70,,                                        22.70,,                                        3.29,,                                        680.00,,                                        713.80,,                                        680.00,,"                                        23,199.00",,                                        690.00,
,                                        34,,CMF1,,,                                        7.90,,                                        0.06,,                                        0.77,,                                        7.78,,                                        7.99,,                                        7.78,,"                                        2,400.00",,                                        7.84,
,                                        35,,CMF2,,,                                        8.33,,                                        0.04,,                                        0.48,,                                        8.45,,                                        8.45,,                                        8.16,,"                                        6,400.00",,                                        8.29,
,                                        36,,CORBL,,,                                        317.00,,                                        -6.00,,                                        -1.86,,                                        329.00,,                                        335.00,,                                        317.00,,"                                        2,742.00",,                                        323.00,
,                                        37,,CYCL,,,"                                        1,191.00",,                                        -23.00,,                                        -1.89,,"                                        1,238.20",,"                                        1,238.20",,"                                        1,190.00",,"                                        1,862.00",,"                                        1,214.00",
,                                        38,,CZBIL,,,                                        188.10,,                                        1.40,,                                        0.75,,                                        186.70,,                                        190.00,,                                        183.00,,"                                        30,631.00",,                                        186.70,
,                                        39,,DDBL,,,                                        733.00,,                                        -4.90,,                                        -0.66,,                                        740.10,,                                        750.00,,                                        733.00,,"                                        3,355.00",,                                        737.90,
,                                        40,,DHPL,,,                                        157.00,,                                        0.00,,                                        0.00,,                                        159.90,,                                        163.00,,                                        157.00,,"                                        6,468.00",,                                        157.00,
,                                        41,,DLBS,,,                                        725.00,,                                        17.00,,                                        2.40,,                                        695.10,,                                        745.00,,                                        685.00,,"                                        1,922.00",,                                        708.00,
,                                        42,,DOLTI,,,                                        199.00,,                                        -4.00,,                                        -1.97,,                                        200.00,,                                        206.90,,                                        196.60,,"                                        3,715.00",,                                        203.00,
,                                        43,,DORDI,,,                                        221.00,,                                        1.00,,                                        0.45,,                                        216.00,,                                        221.00,,                                        213.00,,"                                        2,200.00",,                                        220.00,
,                                        44,,EBL,,,                                        614.00,,                                        1.20,,                                        0.20,,                                        610.00,,                                        619.50,,                                        610.00,,"                                        39,111.00",,                                        612.80,
,                                        45,,EBLD86,,,                                        795.00,,                                        -10.00,,                                        -1.24,,                                        795.00,,                                        795.00,,                                        795.00,,                                        25.00,,                                        805.00,
,                                        46,,EDBL,,,                                        313.00,,                                        -0.90,,                                        -0.29,,                                        308.50,,                                        319.70,,                                        308.50,,"                                        9,260.00",,                                        313.90,
,                                        47,,EHPL,,,                                        308.00,,                                        -3.90,,                                        -1.25,,                                        305.70,,                                        308.00,,                                        294.00,,                                        735.00,,                                        311.90,
,                                        48,,ENL,,,"                                        1,005.00",,                                        25.60,,                                        2.61,,                                        975.00,,"                                        1,005.00",,                                        963.00,,"                                        14,511.00",,                                        979.40,
,                                        49,,FMDBL,,,                                        664.00,,                                        14.00,,                                        2.15,,                                        650.00,,                                        675.00,,                                        648.10,,"                                        23,987.00",,                                        650.00,
,                                        50,,FOWAD,,,"                                        1,192.00",,                                        11.70,,                                        0.99,,"                                        1,170.00",,"                                        1,205.00",,"                                        1,170.00",,"                                        4,288.00",,"                                        1,180.30",
,                                        51,,GBBL,,,                                        380.00,,                                        0.00,,                                        0.00,,                                        386.00,,                                        386.00,,                                        377.00,,"                                        28,736.00",,                                        380.00,
,                                        52,,GBIME,,,                                        211.50,,                                        0.50,,                                        0.24,,                                        211.00,,                                        214.00,,                                        210.00,,"                                        44,801.00",,                                        211.00,
,                                        53,,GBLBS,,,                                        520.00,,                                        6.00,,                                        1.17,,                                        520.00,,                                        524.20,,                                        514.00,,"                                        1,013.00",,                                        514.00,
,                                        54,,GCIL,,,                                        507.00,,                                        5.80,,                                        1.16,,                                        501.20,,                                        512.00,,                                        494.00,,"                                        102,087.00",,                                        501.20,
